city,course,batch_type,weekly_study_hours,attendance_pct,prev_exam_score,mock_test_3,income_bracket,feedback_text
Pune,CS,Morning,3.8,45.5,80.4,57.7,High,Need more visual aids
Delhi,Chemistry,Weekend,13.6,53.1,47.5,,High,Need more visual aids
Bangalore,Physics,Evening,5.0,33.7,,36.2,,Excellent teaching style
Chennai,Physics,Evening,3.5,53.2,68.3,61.1,Low,Need more visual aids
Bangalore,Biology,Morning,24.0,89.6,100.0,,,Instructor was very helpful
Chennai,CS,Weekend,,36.0,,62.1,Medium,"Great course, learned a lot"
Pune,CS,Evening,5.0,32.9,,100.0,Low,Would recommend to others
Pune,Chemistry,Evening,16.1,88.4,60.6,79.8,Low,
Delhi,Physics,Evening,0.5,61.7,77.3,40.5,Medium,"Great course, learned a lot"
Bangalore,Biology,Weekend,5.9,74.0,55.1,59.6,,Need more visual aids
Chennai,Physics,Weekend,14.6,39.5,,30.5,Medium,
Bangalore,CS,Morning,11.8,75.6,73.1,52.9,High,Instructor was very helpful
Bangalore,Chemistry,Morning,6.1,39.2,,33.1,Medium,Need more visual aids
Delhi,Math,Evening,1.9,91.1,71.8,42.0,Medium,Pace was too fast
Pune,Chemistry,Weekend,1.0,20.0,,,Medium,
Pune,Chemistry,Evening,0.7,64.5,83.4,49.4,Medium,Would recommend to others
Delhi,Math,Evening,17.7,78.7,72.8,44.0,Low,Materials were comprehensive
Bangalore,Chemistry,Morning,0.9,64.1,61.1,54.9,,
Chennai,Math,Weekend,3.0,41.8,68.8,,Low,"Great course, learned a lot"
Chennai,Physics,Weekend,2.3,43.2,76.7,100.0,,Materials were comprehensive
Pune,Math,Weekend,11.8,47.4,33.9,75.3,High,"Great course, learned a lot"
Pune,Biology,Weekend,8.3,50.5,80.5,70.4,,Instructor was very helpful
Bangalore,Biology,Weekend,0.1,56.7,54.9,62.6,High,Excellent teaching style
Mumbai,Physics,Morning,2.6,70.7,51.2,89.7,Medium,Need more visual aids
Chennai,Physics,Weekend,6.4,48.5,44.4,65.9,Medium,Materials were comprehensive
Bangalore,Physics,Evening,10.3,42.7,46.1,82.7,Medium,
Delhi,CS,Evening,8.1,93.0,67.0,61.6,,Instructor was very helpful
Mumbai,Physics,Evening,9.3,65.1,54.2,,Medium,Pace was too fast
Pune,CS,Morning,1.6,80.9,50.4,73.6,Medium,Need more visual aids
Delhi,Biology,Morning,18.4,66.9,63.3,89.0,Medium,Materials were comprehensive
Chennai,Math,Morning,8.1,80.8,71.3,42.7,Medium,Materials were comprehensive
Pune,Physics,Weekend,28.5,78.0,47.2,46.4,Medium,Need more visual aids
Bangalore,Math,Evening,1.9,91.6,52.4,78.7,Low,Excellent teaching style
Chennai,Chemistry,Weekend,34.3,95.7,57.5,51.8,Low,"Great course, learned a lot"
Chennai,Chemistry,Evening,0.8,60.7,60.0,58.4,Medium,Instructor was very helpful
Delhi,CS,Evening,17.4,20.0,,77.2,Medium,Materials were comprehensive
Delhi,CS,Weekend,2.6,34.5,,38.1,High,Need more visual aids
Delhi,Math,Evening,8.0,80.4,83.4,52.3,Medium,Pace was too fast
Chennai,Biology,Morning,0.2,98.4,49.9,47.0,Medium,Instructor was very helpful
Chennai,CS,Morning,3.1,84.3,69.7,,Low,"Great course, learned a lot"
Pune,CS,Morning,4.4,29.3,,50.8,High,Need more visual aids
Bangalore,Chemistry,Morning,5.9,68.4,44.5,,Low,Would recommend to others
Mumbai,Math,Evening,0.2,93.5,55.1,69.3,,Would recommend to others
Bangalore,CS,Evening,0.3,20.0,,47.7,Medium,Instructor was very helpful
Chennai,Biology,Evening,0.7,44.3,76.5,,High,Need more visual aids
